"id";"einrichtung";"bibo_nr";"traeger";"einrichtungsart";"strasse";"hnr";"hnrz";"plz";"url";"stichworte";"geom";"barrierefrei";"ds_modified"
456;"Bibliothek Langebrück";"07";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Hauptstraße (LB)";4;;"01465";"www.bibo-dresden.de/de/standorte/bibliothek-langebrueck.php";;"SRID=4326;POINT(13.84416606345067179973 51.12676109865889628736)";false;2025-04-24 13:19:12
274;"Bibliothek Weißig";"09";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Bautzner Landstraße";291;;"01328";"www.bibo-dresden.de/de/standorte/bibliothek-weissig.php";;"SRID=4326;POINT(13.88527923416658360622 51.0615126893809119224)";true;2025-04-24 13:21:26
544;"Haltestelle der Fahrbibliothek in Niedersedlitz, Sosaer Straße; Dienstag 17 - 18.30 Uhr";"id_544";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.8258552588244114645 50.99876576204084699384)";true;2025-04-24 13:22:58
532;"Haltestelle der Fahrbibliothek in Leuben, Neundorfer Straße ((in Höhe Nummer 65)) ; Mittwoch 15 - 16.45 Uhr";"id_532";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.81723392329314492599 51.0112098633387205382)";true;2025-04-24 13:24:33
549;"Haltestelle der Fahrbibliothek in Zschertnitz, Räcknitzhöhe; Dienstag 13 - 14.30 Uhr";"id_549";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.74601828933903213681 51.0232234188194055946)";true;2025-04-24 13:27:03
277;"Ausleihstelle Schullwitz, Dienstag 15 - 18 Uhr";"44";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Bühlauer Straße (SW)";25;;"01328";"www.bibo-dresden.de/de/standorte/mobile-bibliothek/ausleihstellen.php";;"SRID=4326;POINT(13.91868684584578197416 51.03992920952150313951)";true;2025-04-24 13:29:42
1492;"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden - DrePunct";"id_1492";"Freistaat Sachsen";"Bibliotheken";"Zellescher Weg";17;;"01069";"www.slub-dresden.de/oeffnungszeiten-und-standorte/bibliothek-drepunctmakerspace";;"SRID=4326;POINT(13.7387353692862372867 51.02942820616581087734)";false;2025-04-24 13:44:09
1493;"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden - Bibliothek August-Bebel-Straße";"id_1493";"Freistaat Sachsen";"Bibliotheken";"August-Bebel-Straße";18;;"01219";"www.slub-dresden.de/oeffnungszeiten-und-standorte/bibliothek-august-bebel-strasse-textlab";;"SRID=4326;POINT(13.75245826690949968452 51.03162181596457003252)";false;2025-04-24 13:45:31
1494;"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden - Interim Bibliothek Bergstraße";"id_1494";"Freistaat Sachsen";"Bibliotheken";"Zellescher Weg";21;;"01217";"www.slub-dresden.de/oeffnungszeiten-und-standorte/interimsbibliothek-bergstrasse-open-science-lab";;"SRID=4326;POINT(13.74254207555125617546 51.02910168535044022065)";false;2025-04-24 13:47:05
1495;"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden - Bibliothek Fiedlerstraße";"id_1495";"Freistaat Sachsen";"Bibliotheken";"Fiedlerstraße";27;;"01307";"www.slub-dresden.de/oeffnungszeiten-und-standorte/bibliothek-fiedlerstrasse-medizin";;"SRID=4326;POINT(13.78274451719077653422 51.05464075722498762389)";false;2025-04-24 13:49:58
